pair_id,split,input_path,target_path,source_filename
train_00027,train,dataset/train/input/train_00027.png,dataset/train/target/train_00027.png,7838.jpg
train_00028,train,dataset/train/input/train_00028.png,dataset/train/target/train_00028.png,128.jpg
train_00029,train,dataset/train/input/train_00029.png,dataset/train/target/train_00029.png,8488.jpg
train_00030,train,dataset/train/input/train_00030.png,dataset/train/target/train_00030.png,4522.jpg
train_00031,train,dataset/train/input/train_00031.png,dataset/train/target/train_00031.png,6347.jpg
train_00032,train,dataset/train/input/train_00032.png,dataset/train/target/train_00032.png,3844.jpg
train_00033,train,dataset/train/input/train_00033.png,dataset/train/target/train_00033.png,2807.jpg
train_00034,train,dataset/train/input/train_00034.png,dataset/train/target/train_00034.png,7565.jpg
train_00035,train,dataset/train/input/train_00035.png,dataset/train/target/train_00035.png,4745.jpg
train_00036,train,dataset/train/input/train_00036.png,dataset/train/target/train_00036.png,8582.jpg
train_00037,train,dataset/train/input/train_00037.png,dataset/train/target/train_00037.png,4670.jpg
train_00038,train,dataset/train/input/train_00038.png,dataset/train/target/train_00038.png,4621.jpg
train_00039,train,dataset/train/input/train_00039.png,dataset/train/target/train_00039.png,3108.jpg
train_00040,train,dataset/train/input/train_00040.png,dataset/train/target/train_00040.png,129.jpg
train_00041,train,dataset/train/input/train_00041.png,dataset/train/target/train_00041.png,3458.jpg
train_00042,train,dataset/train/input/train_00042.png,dataset/train/target/train_00042.png,1631.jpg
train_00043,train,dataset/train/input/train_00043.png,dataset/train/target/train_00043.png,6288.jpg
train_00044,train,dataset/train/input/train_00044.png,dataset/train/target/train_00044.png,8086.jpg
train_00045,train,dataset/train/input/train_00045.png,dataset/train/target/train_00045.png,2484.jpg
train_00046,train,dataset/train/input/train_00046.png,dataset/train/target/train_00046.png,1524.jpg
train_00047,train,dataset/train/input/train_00047.png,dataset/train/target/train_00047.png,5160.jpg
train_00048,train,dataset/train/input/train_00048.png,dataset/train/target/train_00048.png,4543.jpg
train_00049,train,dataset/train/input/train_00049.png,dataset/train/target/train_00049.png,2440.jpg
train_00050,train,dataset/train/input/train_00050.png,dataset/train/target/train_00050.png,6020.jpg
train_00051,train,dataset/train/input/train_00051.png,dataset/train/target/train_00051.png,5911.jpg
train_00052,train,dataset/train/input/train_00052.png,dataset/train/target/train_00052.png,4747.jpg
train_00053,train,dataset/train/input/train_00053.png,dataset/train/target/train_00053.png,8014.jpg
train_00054,train,dataset/train/input/train_00054.png,dataset/train/target/train_00054.png,56.jpg
train_00055,train,dataset/train/input/train_00055.png,dataset/train/target/train_00055.png,7028.jpg
train_00056,train,dataset/train/input/train_00056.png,dataset/train/target/train_00056.png,5076.jpg
train_00057,train,dataset/train/input/train_00057.png,dataset/train/target/train_00057.png,93.jpg
train_00058,train,dataset/train/input/train_00058.png,dataset/train/target/train_00058.png,2114.jpg
train_00059,train,dataset/train/input/train_00059.png,dataset/train/target/train_00059.png,5723.jpg
train_00060,train,dataset/train/input/train_00060.png,dataset/train/target/train_00060.png,5539.jpg
train_00061,train,dataset/train/input/train_00061.png,dataset/train/target/train_00061.png,113.jpg
train_00062,train,dataset/train/input/train_00062.png,dataset/train/target/train_00062.png,3034.jpg
train_00063,train,dataset/train/input/train_00063.png,dataset/train/target/train_00063.png,5904.jpg
train_00064,train,dataset/train/input/train_00064.png,dataset/train/target/train_00064.png,581.jpg
train_00065,train,dataset/train/input/train_00065.png,dataset/train/target/train_00065.png,4831.jpg
train_00066,train,dataset/train/input/train_00066.png,dataset/train/target/train_00066.png,5822.jpg
train_00067,train,dataset/train/input/train_00067.png,dataset/train/target/train_00067.png,2547.jpg
train_00068,train,dataset/train/input/train_00068.png,dataset/train/target/train_00068.png,3904.jpg
train_00069,train,dataset/train/input/train_00069.png,dataset/train/target/train_00069.png,8629.jpg
train_00070,train,dataset/train/input/train_00070.png,dataset/train/target/train_00070.png,8434.jpg
train_00071,train,dataset/train/input/train_00071.png,dataset/train/target/train_00071.png,4113.jpg
train_00072,train,dataset/train/input/train_00072.png,dataset/train/target/train_00072.png,9220.jpg
train_00073,train,dataset/train/input/train_00073.png,dataset/train/target/train_00073.png,2794.jpg
train_00074,train,dataset/train/input/train_00074.png,dataset/train/target/train_00074.png,3956.jpg
train_00075,train,dataset/train/input/train_00075.png,dataset/train/target/train_00075.png,4114.jpg
train_00076,train,dataset/train/input/train_00076.png,dataset/train/target/train_00076.png,8647.jpg
train_00077,train,dataset/train/input/train_00077.png,dataset/train/target/train_00077.png,7854.jpg
train_00078,train,dataset/train/input/train_00078.png,dataset/train/target/train_00078.png,7906.jpg
train_00079,train,dataset/train/input/train_00079.png,dataset/train/target/train_00079.png,6423.jpg
train_00080,train,dataset/train/input/train_00080.png,dataset/train/target/train_00080.png,747.jpg
train_00081,train,dataset/train/input/train_00081.png,dataset/train/target/train_00081.png,8729.jpg
train_00082,train,dataset/train/input/train_00082.png,dataset/train/target/train_00082.png,5620.jpg
train_00083,train,dataset/train/input/train_00083.png,dataset/train/target/train_00083.png,5460.jpg
train_00084,train,dataset/train/input/train_00084.png,dataset/train/target/train_00084.png,7382.jpg
train_00085,train,dataset/train/input/train_00085.png,dataset/train/target/train_00085.png,373.jpg
train_00086,train,dataset/train/input/train_00086.png,dataset/train/target/train_00086.png,6662.jpg
train_00087,train,dataset/train/input/train_00087.png,dataset/train/target/train_00087.png,6838.jpg
train_00088,train,dataset/train/input/train_00088.png,dataset/train/target/train_00088.png,2064.jpg
train_00089,train,dataset/train/input/train_00089.png,dataset/train/target/train_00089.png,1462.jpg
train_00090,train,dataset/train/input/train_00090.png,dataset/train/target/train_00090.png,5272.jpg
train_00091,train,dataset/train/input/train_00091.png,dataset/train/target/train_00091.png,1954.jpg
train_00092,train,dataset/train/input/train_00092.png,dataset/train/target/train_00092.png,3625.jpg
train_00093,train,dataset/train/input/train_00093.png,dataset/train/target/train_00093.png,2258.jpg
train_00094,train,dataset/train/input/train_00094.png,dataset/train/target/train_00094.png,8637.jpg
train_00095,train,dataset/train/input/train_00095.png,dataset/train/target/train_00095.png,8478.jpg
train_00096,train,dataset/train/input/train_00096.png,dataset/train/target/train_00096.png,370.jpg
train_00097,train,dataset/train/input/train_00097.png,dataset/train/target/train_00097.png,550.jpg
train_00098,train,dataset/train/input/train_00098.png,dataset/train/target/train_00098.png,3883.jpg
train_00099,train,dataset/train/input/train_00099.png,dataset/train/target/train_00099.png,6290.jpg
train_00100,train,dataset/train/input/train_00100.png,dataset/train/target/train_00100.png,7426.jpg
train_00101,train,dataset/train/input/train_00101.png,dataset/train/target/train_00101.png,627.jpg
train_00102,train,dataset/train/input/train_00102.png,dataset/train/target/train_00102.png,676.jpg
train_00103,train,dataset/train/input/train_00103.png,dataset/train/target/train_00103.png,4753.jpg
train_00104,train,dataset/train/input/train_00104.png,dataset/train/target/train_00104.png,2851.jpg
train_00105,train,dataset/train/input/train_00105.png,dataset/train/target/train_00105.png,6052.jpg
train_00106,train,dataset/train/input/train_00106.png,dataset/train/target/train_00106.png,6665.jpg
train_00107,train,dataset/train/input/train_00107.png,dataset/train/target/train_00107.png,835.jpg
train_00108,train,dataset/train/input/train_00108.png,dataset/train/target/train_00108.png,6940.jpg
train_00109,train,dataset/train/input/train_00109.png,dataset/train/target/train_00109.png,5560.jpg
train_00110,train,dataset/train/input/train_00110.png,dataset/train/target/train_00110.png,1471.jpg
train_00111,train,dataset/train/input/train_00111.png,dataset/train/target/train_00111.png,1126.jpg
train_00112,train,dataset/train/input/train_00112.png,dataset/train/target/train_00112.png,9737.jpg
train_00113,train,dataset/train/input/train_00113.png,dataset/train/target/train_00113.png,4907.jpg
train_00114,train,dataset/train/input/train_00114.png,dataset/train/target/train_00114.png,1636.jpg
train_00115,train,dataset/train/input/train_00115.png,dataset/train/target/train_00115.png,1427.jpg
train_00116,train,dataset/train/input/train_00116.png,dataset/train/target/train_00116.png,6470.jpg
train_00117,train,dataset/train/input/train_00117.png,dataset/train/target/train_00117.png,3668.jpg
train_00118,train,dataset/train/input/train_00118.png,dataset/train/target/train_00118.png,5922.jpg
train_00119,train,dataset/train/input/train_00119.png,dataset/train/target/train_00119.png,3711.jpg
train_00120,train,dataset/train/input/train_00120.png,dataset/train/target/train_00120.png,7066.jpg
train_00121,train,dataset/train/input/train_00121.png,dataset/train/target/train_00121.png,6606.jpg
train_00122,train,dataset/train/input/train_00122.png,dataset/train/target/train_00122.png,771.jpg
train_00123,train,dataset/train/input/train_00123.png,dataset/train/target/train_00123.png,8971.jpg
train_00124,train,dataset/train/input/train_00124.png,dataset/train/target/train_00124.png,3993.jpg
train_00125,train,dataset/train/input/train_00125.png,dataset/train/target/train_00125.png,7276.jpg
train_00126,train,dataset/train/input/train_00126.png,dataset/train/target/train_00126.png,1574.jpg
train_00127,train,dataset/train/input/train_00127.png,dataset/train/target/train_00127.png,2042.jpg
train_00128,train,dataset/train/input/train_00128.png,dataset/train/target/train_00128.png,6739.jpg
train_00129,train,dataset/train/input/train_00129.png,dataset/train/target/train_00129.png,6619.jpg
train_00130,train,dataset/train/input/train_00130.png,dataset/train/target/train_00130.png,8642.jpg
train_00131,train,dataset/train/input/train_00131.png,dataset/train/target/train_00131.png,1861.jpg
train_00132,train,dataset/train/input/train_00132.png,dataset/train/target/train_00132.png,6743.jpg
train_00133,train,dataset/train/input/train_00133.png,dataset/train/target/train_00133.png,500.jpg
train_00134,train,dataset/train/input/train_00134.png,dataset/train/target/train_00134.png,4274.jpg
train_00135,train,dataset/train/input/train_00135.png,dataset/train/target/train_00135.png,1250.jpg
train_00136,train,dataset/train/input/train_00136.png,dataset/train/target/train_00136.png,7248.jpg
train_00137,train,dataset/train/input/train_00137.png,dataset/train/target/train_00137.png,9385.jpg
train_00138,train,dataset/train/input/train_00138.png,dataset/train/target/train_00138.png,498.jpg
train_00139,train,dataset/train/input/train_00139.png,dataset/train/target/train_00139.png,8183.jpg
train_00140,train,dataset/train/input/train_00140.png,dataset/train/target/train_00140.png,2116.jpg
train_00141,train,dataset/train/input/train_00141.png,dataset/train/target/train_00141.png,418.jpg
train_00142,train,dataset/train/input/train_00142.png,dataset/train/target/train_00142.png,4078.jpg
train_00143,train,dataset/train/input/train_00143.png,dataset/train/target/train_00143.png,5416.jpg
train_00144,train,dataset/train/input/train_00144.png,dataset/train/target/train_00144.png,9320.jpg
train_00145,train,dataset/train/input/train_00145.png,dataset/train/target/train_00145.png,699.jpg
train_00146,train,dataset/train/input/train_00146.png,dataset/train/target/train_00146.png,4620.jpg
train_00147,train,dataset/train/input/train_00147.png,dataset/train/target/train_00147.png,6659.jpg
train_00148,train,dataset/train/input/train_00148.png,dataset/train/target/train_00148.png,8104.jpg
train_00149,train,dataset/train/input/train_00149.png,dataset/train/target/train_00149.png,4998.jpg
train_00150,train,dataset/train/input/train_00150.png,dataset/train/target/train_00150.png,4471.jpg
train_00151,train,dataset/train/input/train_00151.png,dataset/train/target/train_00151.png,5438.jpg
train_00152,train,dataset/train/input/train_00152.png,dataset/train/target/train_00152.png,5529.jpg
train_00153,train,dataset/train/input/train_00153.png,dataset/train/target/train_00153.png,3469.jpg
train_00154,train,dataset/train/input/train_00154.png,dataset/train/target/train_00154.png,1322.jpg
train_00155,train,dataset/train/input/train_00155.png,dataset/train/target/train_00155.png,9575.jpg
train_00156,train,dataset/train/input/train_00156.png,dataset/train/target/train_00156.png,8082.jpg
train_00157,train,dataset/train/input/train_00157.png,dataset/train/target/train_00157.png,7563.jpg
train_00158,train,dataset/train/input/train_00158.png,dataset/train/target/train_00158.png,9525.jpg
train_00159,train,dataset/train/input/train_00159.png,dataset/train/target/train_00159.png,7302.jpg
train_00160,train,dataset/train/input/train_00160.png,dataset/train/target/train_00160.png,9822.jpg
train_00161,train,dataset/train/input/train_00161.png,dataset/train/target/train_00161.png,5899.jpg
train_00162,train,dataset/train/input/train_00162.png,dataset/train/target/train_00162.png,115.jpg
train_00163,train,dataset/train/input/train_00163.png,dataset/train/target/train_00163.png,1071.jpg
train_00164,train,dataset/train/input/train_00164.png,dataset/train/target/train_00164.png,9725.jpg
train_00165,train,dataset/train/input/train_00165.png,dataset/train/target/train_00165.png,1512.jpg
train_00166,train,dataset/train/input/train_00166.png,dataset/train/target/train_00166.png,5415.jpg
train_00167,train,dataset/train/input/train_00167.png,dataset/train/target/train_00167.png,4520.jpg
train_00168,train,dataset/train/input/train_00168.png,dataset/train/target/train_00168.png,657.jpg
train_00169,train,dataset/train/input/train_00169.png,dataset/train/target/train_00169.png,733.jpg
train_00170,train,dataset/train/input/train_00170.png,dataset/train/target/train_00170.png,8267.jpg
train_00171,train,dataset/train/input/train_00171.png,dataset/train/target/train_00171.png,8162.jpg
train_00172,train,dataset/train/input/train_00172.png,dataset/train/target/train_00172.png,9523.jpg
train_00173,train,dataset/train/input/train_00173.png,dataset/train/target/train_00173.png,9883.jpg
train_00174,train,dataset/train/input/train_00174.png,dataset/train/target/train_00174.png,1342.jpg
train_00175,train,dataset/train/input/train_00175.png,dataset/train/target/train_00175.png,476.jpg
train_00176,train,dataset/train/input/train_00176.png,dataset/train/target/train_00176.png,7830.jpg
train_00177,train,dataset/train/input/train_00177.png,dataset/train/target/train_00177.png,3215.jpg
train_00178,train,dataset/train/input/train_00178.png,dataset/train/target/train_00178.png,9098.jpg
train_00179,train,dataset/train/input/train_00179.png,dataset/train/target/train_00179.png,8002.jpg
train_00180,train,dataset/train/input/train_00180.png,dataset/train/target/train_00180.png,3884.jpg
train_00181,train,dataset/train/input/train_00181.png,dataset/train/target/train_00181.png,4104.jpg
train_00182,train,dataset/train/input/train_00182.png,dataset/train/target/train_00182.png,1374.jpg
train_00183,train,dataset/train/input/train_00183.png,dataset/train/target/train_00183.png,2862.jpg
train_00184,train,dataset/train/input/train_00184.png,dataset/train/target/train_00184.png,4631.jpg
train_00185,train,dataset/train/input/train_00185.png,dataset/train/target/train_00185.png,4729.jpg
train_00186,train,dataset/train/input/train_00186.png,dataset/train/target/train_00186.png,5165.jpg
train_00187,train,dataset/train/input/train_00187.png,dataset/train/target/train_00187.png,7447.jpg
train_00188,train,dataset/train/input/train_00188.png,dataset/train/target/train_00188.png,9964.jpg
train_00189,train,dataset/train/input/train_00189.png,dataset/train/target/train_00189.png,5609.jpg
train_00190,train,dataset/train/input/train_00190.png,dataset/train/target/train_00190.png,1514.jpg
train_00191,train,dataset/train/input/train_00191.png,dataset/train/target/train_00191.png,8306.jpg
train_00192,train,dataset/train/input/train_00192.png,dataset/train/target/train_00192.png,34.jpg
train_00193,train,dataset/train/input/train_00193.png,dataset/train/target/train_00193.png,7001.jpg
train_00194,train,dataset/train/input/train_00194.png,dataset/train/target/train_00194.png,5514.jpg
train_00195,train,dataset/train/input/train_00195.png,dataset/train/target/train_00195.png,8862.jpg
train_00196,train,dataset/train/input/train_00196.png,dataset/train/target/train_00196.png,2379.jpg
train_00197,train,dataset/train/input/train_00197.png,dataset/train/target/train_00197.png,3984.jpg
train_00198,train,dataset/train/input/train_00198.png,dataset/train/target/train_00198.png,826.jpg
train_00199,train,dataset/train/input/train_00199.png,dataset/train/target/train_00199.png,8403.jpg
train_00200,train,dataset/train/input/train_00200.png,dataset/train/target/train_00200.png,7726.jpg
train_00201,train,dataset/train/input/train_00201.png,dataset/train/target/train_00201.png,6655.jpg
train_00202,train,dataset/train/input/train_00202.png,dataset/train/target/train_00202.png,3462.jpg
train_00203,train,dataset/train/input/train_00203.png,dataset/train/target/train_00203.png,5600.jpg
train_00204,train,dataset/train/input/train_00204.png,dataset/train/target/train_00204.png,4812.jpg
train_00205,train,dataset/train/input/train_00205.png,dataset/train/target/train_00205.png,27.jpg
train_00206,train,dataset/train/input/train_00206.png,dataset/train/target/train_00206.png,4696.jpg
train_00207,train,dataset/train/input/train_00207.png,dataset/train/target/train_00207.png,8798.jpg
train_00208,train,dataset/train/input/train_00208.png,dataset/train/target/train_00208.png,6248.jpg
train_00209,train,dataset/train/input/train_00209.png,dataset/train/target/train_00209.png,5273.jpg
train_00210,train,dataset/train/input/train_00210.png,dataset/train/target/train_00210.png,6277.jpg
train_00211,train,dataset/train/input/train_00211.png,dataset/train/target/train_00211.png,7857.jpg
train_00212,train,dataset/train/input/train_00212.png,dataset/train/target/train_00212.png,2252.jpg
train_00213,train,dataset/train/input/train_00213.png,dataset/train/target/train_00213.png,975.jpg
train_00214,train,dataset/train/input/train_00214.png,dataset/train/target/train_00214.png,3955.jpg
train_00215,train,dataset/train/input/train_00215.png,dataset/train/target/train_00215.png,3159.jpg
train_00216,train,dataset/train/input/train_00216.png,dataset/train/target/train_00216.png,813.jpg
train_00217,train,dataset/train/input/train_00217.png,dataset/train/target/train_00217.png,4173.jpg
train_00218,train,dataset/train/input/train_00218.png,dataset/train/target/train_00218.png,7387.jpg
train_00219,train,dataset/train/input/train_00219.png,dataset/train/target/train_00219.png,2285.jpg
train_00220,train,dataset/train/input/train_00220.png,dataset/train/target/train_00220.png,4214.jpg
train_00221,train,dataset/train/input/train_00221.png,dataset/train/target/train_00221.png,7356.jpg
train_00222,train,dataset/train/input/train_00222.png,dataset/train/target/train_00222.png,7500.jpg
train_00223,train,dataset/train/input/train_00223.png,dataset/train/target/train_00223.png,8293.jpg
train_00224,train,dataset/train/input/train_00224.png,dataset/train/target/train_00224.png,671.jpg
train_00225,train,dataset/train/input/train_00225.png,dataset/train/target/train_00225.png,8419.jpg
train_00226,train,dataset/train/input/train_00226.png,dataset/train/target/train_00226.png,1858.jpg
train_00227,train,dataset/train/input/train_00227.png,dataset/train/target/train_00227.png,7789.jpg
train_00228,train,dataset/train/input/train_00228.png,dataset/train/target/train_00228.png,750.jpg
train_00229,train,dataset/train/input/train_00229.png,dataset/train/target/train_00229.png,8651.jpg
train_00230,train,dataset/train/input/train_00230.png,dataset/train/target/train_00230.png,4057.jpg
train_00231,train,dataset/train/input/train_00231.png,dataset/train/target/train_00231.png,5082.jpg
train_00232,train,dataset/train/input/train_00232.png,dataset/train/target/train_00232.png,6944.jpg
train_00233,train,dataset/train/input/train_00233.png,dataset/train/target/train_00233.png,7187.jpg
train_00234,train,dataset/train/input/train_00234.png,dataset/train/target/train_00234.png,648.jpg
train_00235,train,dataset/train/input/train_00235.png,dataset/train/target/train_00235.png,6813.jpg
train_00236,train,dataset/train/input/train_00236.png,dataset/train/target/train_00236.png,4004.jpg
train_00237,train,dataset/train/input/train_00237.png,dataset/train/target/train_00237.png,7038.jpg
train_00238,train,dataset/train/input/train_00238.png,dataset/train/target/train_00238.png,5432.jpg
train_00239,train,dataset/train/input/train_00239.png,dataset/train/target/train_00239.png,1782.jpg
train_00240,train,dataset/train/input/train_00240.png,dataset/train/target/train_00240.png,1000.jpg
train_00241,train,dataset/train/input/train_00241.png,dataset/train/target/train_00241.png,3973.jpg
train_00242,train,dataset/train/input/train_00242.png,dataset/train/target/train_00242.png,2025.jpg
train_00243,train,dataset/train/input/train_00243.png,dataset/train/target/train_00243.png,4021.jpg
train_00244,train,dataset/train/input/train_00244.png,dataset/train/target/train_00244.png,971.jpg
train_00245,train,dataset/train/input/train_00245.png,dataset/train/target/train_00245.png,7527.jpg
train_00246,train,dataset/train/input/train_00246.png,dataset/train/target/train_00246.png,1003.jpg
train_00247,train,dataset/train/input/train_00247.png,dataset/train/target/train_00247.png,8930.jpg
train_00248,train,dataset/train/input/train_00248.png,dataset/train/target/train_00248.png,8131.jpg
train_00249,train,dataset/train/input/train_00249.png,dataset/train/target/train_00249.png,6428.jpg
train_00250,train,dataset/train/input/train_00250.png,dataset/train/target/train_00250.png,8124.jpg
train_00251,train,dataset/train/input/train_00251.png,dataset/train/target/train_00251.png,9379.jpg
train_00252,train,dataset/train/input/train_00252.png,dataset/train/target/train_00252.png,3672.jpg
train_00253,train,dataset/train/input/train_00253.png,dataset/train/target/train_00253.png,5282.jpg
train_00254,train,dataset/train/input/train_00254.png,dataset/train/target/train_00254.png,6915.jpg
train_00255,train,dataset/train/input/train_00255.png,dataset/train/target/train_00255.png,9398.jpg
train_00256,train,dataset/train/input/train_00256.png,dataset/train/target/train_00256.png,2396.jpg
train_00257,train,dataset/train/input/train_00257.png,dataset/train/target/train_00257.png,5391.jpg
train_00258,train,dataset/train/input/train_00258.png,dataset/train/target/train_00258.png,9196.jpg
train_00259,train,dataset/train/input/train_00259.png,dataset/train/target/train_00259.png,9507.jpg
train_00260,train,dataset/train/input/train_00260.png,dataset/train/target/train_00260.png,8260.jpg
train_00261,train,dataset/train/input/train_00261.png,dataset/train/target/train_00261.png,2153.jpg
train_00262,train,dataset/train/input/train_00262.png,dataset/train/target/train_00262.png,9348.jpg
train_00263,train,dataset/train/input/train_00263.png,dataset/train/target/train_00263.png,7781.jpg
train_00264,train,dataset/train/input/train_00264.png,dataset/train/target/train_00264.png,4360.jpg
train_00265,train,dataset/train/input/train_00265.png,dataset/train/target/train_00265.png,5865.jpg
train_00266,train,dataset/train/input/train_00266.png,dataset/train/target/train_00266.png,5372.jpg
train_00267,train,dataset/train/input/train_00267.png,dataset/train/target/train_00267.png,1348.jpg
train_00268,train,dataset/train/input/train_00268.png,dataset/train/target/train_00268.png,3152.jpg
train_00269,train,dataset/train/input/train_00269.png,dataset/train/target/train_00269.png,3264.jpg
train_00270,train,dataset/train/input/train_00270.png,dataset/train/target/train_00270.png,6925.jpg
train_00271,train,dataset/train/input/train_00271.png,dataset/train/target/train_00271.png,2322.jpg
train_00272,train,dataset/train/input/train_00272.png,dataset/train/target/train_00272.png,19.jpg
train_00273,train,dataset/train/input/train_00273.png,dataset/train/target/train_00273.png,3459.jpg
train_00274,train,dataset/train/input/train_00274.png,dataset/train/target/train_00274.png,9889.jpg
train_00275,train,dataset/train/input/train_00275.png,dataset/train/target/train_00275.png,91.jpg
train_00276,train,dataset/train/input/train_00276.png,dataset/train/target/train_00276.png,182.jpg
train_00277,train,dataset/train/input/train_00277.png,dataset/train/target/train_00277.png,5918.jpg
train_00278,train,dataset/train/input/train_00278.png,dataset/train/target/train_00278.png,7644.jpg
train_00279,train,dataset/train/input/train_00279.png,dataset/train/target/train_00279.png,3336.jpg
train_00280,train,dataset/train/input/train_00280.png,dataset/train/target/train_00280.png,7872.jpg
train_00281,train,dataset/train/input/train_00281.png,dataset/train/target/train_00281.png,9233.jpg
train_00282,train,dataset/train/input/train_00282.png,dataset/train/target/train_00282.png,741.jpg
train_00283,train,dataset/train/input/train_00283.png,dataset/train/target/train_00283.png,2221.jpg
train_00284,train,dataset/train/input/train_00284.png,dataset/train/target/train_00284.png,952.jpg
train_00285,train,dataset/train/input/train_00285.png,dataset/train/target/train_00285.png,8374.jpg
train_00286,train,dataset/train/input/train_00286.png,dataset/train/target/train_00286.png,3500.jpg
train_00287,train,dataset/train/input/train_00287.png,dataset/train/target/train_00287.png,3093.jpg
train_00288,train,dataset/train/input/train_00288.png,dataset/train/target/train_00288.png,2502.jpg
train_00289,train,dataset/train/input/train_00289.png,dataset/train/target/train_00289.png,7572.jpg
train_00290,train,dataset/train/input/train_00290.png,dataset/train/target/train_00290.png,175.jpg
train_00291,train,dataset/train/input/train_00291.png,dataset/train/target/train_00291.png,9286.jpg
train_00292,train,dataset/train/input/train_00292.png,dataset/train/target/train_00292.png,5213.jpg
train_00293,train,dataset/train/input/train_00293.png,dataset/train/target/train_00293.png,9526.jpg
train_00294,train,dataset/train/input/train_00294.png,dataset/train/target/train_00294.png,2553.jpg
train_00295,train,dataset/train/input/train_00295.png,dataset/train/target/train_00295.png,6858.jpg
train_00296,train,dataset/train/input/train_00296.png,dataset/train/target/train_00296.png,8918.jpg
train_00297,train,dataset/train/input/train_00297.png,dataset/train/target/train_00297.png,3408.jpg
train_00298,train,dataset/train/input/train_00298.png,dataset/train/target/train_00298.png,9650.jpg
train_00299,train,dataset/train/input/train_00299.png,dataset/train/target/train_00299.png,2457.jpg
train_00300,train,dataset/train/input/train_00300.png,dataset/train/target/train_00300.png,6596.jpg
train_00301,train,dataset/train/input/train_00301.png,dataset/train/target/train_00301.png,2721.jpg
train_00302,train,dataset/train/input/train_00302.png,dataset/train/target/train_00302.png,1306.jpg
train_00303,train,dataset/train/input/train_00303.png,dataset/train/target/train_00303.png,1347.jpg
train_00304,train,dataset/train/input/train_00304.png,dataset/train/target/train_00304.png,4844.jpg
train_00305,train,dataset/train/input/train_00305.png,dataset/train/target/train_00305.png,5389.jpg
train_00306,train,dataset/train/input/train_00306.png,dataset/train/target/train_00306.png,3070.jpg
train_00307,train,dataset/train/input/train_00307.png,dataset/train/target/train_00307.png,8093.jpg
train_00308,train,dataset/train/input/train_00308.png,dataset/train/target/train_00308.png,1201.jpg
train_00309,train,dataset/train/input/train_00309.png,dataset/train/target/train_00309.png,2124.jpg
train_00310,train,dataset/train/input/train_00310.png,dataset/train/target/train_00310.png,6835.jpg
train_00311,train,dataset/train/input/train_00311.png,dataset/train/target/train_00311.png,8645.jpg
train_00312,train,dataset/train/input/train_00312.png,dataset/train/target/train_00312.png,7943.jpg
train_00313,train,dataset/train/input/train_00313.png,dataset/train/target/train_00313.png,6066.jpg
train_00314,train,dataset/train/input/train_00314.png,dataset/train/target/train_00314.png,5156.jpg
train_00315,train,dataset/train/input/train_00315.png,dataset/train/target/train_00315.png,9702.jpg
train_00316,train,dataset/train/input/train_00316.png,dataset/train/target/train_00316.png,1362.jpg
train_00317,train,dataset/train/input/train_00317.png,dataset/train/target/train_00317.png,516.jpg
